1;Su;5.1;6.9;1.0;(null);0.0;NNW;59;06:57;6.8;99;8;NNW;46;997.4;6.4;98;8;NNW;35;996.1;
2;Mo;4.0;7.6;5.0;(null);0.0;SSE;61;13:44;4.7;93;8;SE;39;988.3;5.5;98;8;SE;33;977.9;
3;Tu;4.7;8.9;9.6;(null);0.0;N;63;11:15;7.3;97;8;N;37;983.7;6.0;98;8;N;26;983.9;
4;We;5.0;7.7;6.8;(null);3.4;NW;72;20:02;5.3;96;8;NNW;22;982.5;5.7;93;2;NNW;33;986.8;
5;Th;4.3;7.9;10.2;(null);0.3;NW;124;13:27;7.5;95;8;N;67;976.7;5.5;86;7;W;81;981.4;
6;Fr;4.1;7.5;11.6;(null);2.3;NNW;107;12:38;7.1;96;8;NNW;54;981.1;4.0;87;7;W;69;983.2;
7;Sa;3.9;6.5;3.8;(null);2.4;NNW;91;14:20;5.5;85;2;NW;37;1003.2;6.3;91;7;NNW;56;999.2;
8;Su;4.0;5.5;2.0;(null);4.9;W;65;13:44;4.9;78;3;WNW;35;1003.9;2.8;78;5;W;31;1007.0;
9;Mo;2.3;5.4;0.8;(null);0.5;WNW;69;12:51;4.1;78;7;WNW;48;1013.2;4.4;77;7;WNW;46;1012.0;
10;Tu;3.9;8.5;0.2;(null);0.0;ESE;72;16:16;4.6;94;8;ESE;35;994.7;5.2;96;8;ESE;50;979.9;
11;We;4.6;8.2;11.4;(null);3.6;N;87;14:11;7.0;91;6;N;35;965.2;6.6;90;7;N;41;956.3;
12;Th;4.2;5.3;3.8;(null);0.0;NW;78;00:01;4.8;98;8;NW;41;955.4;4.9;98;8;W;26;958.6;
13;Fr;1.7;3.7;1.8;(null);0.4;W;61;01:17;2.8;85;7;W;24;976.4;2.8;88;8;WNW;20;978.5;
14;Sa;2.0;5.0;2.4;(null);0.0;W;50;16:23;3.4;96;8;SE;15;980.8;3.0;93;8;SSW;15;986.8;
15;Su;2.0;5.4;5.8;(null);0.1;W;137;13:23;4.8;96;8;N;35;977.2;1.7;86;7;W;44;982.3;
16;Mo;-0.4;3.1;3.2;(null);3.8;W;72;10:43;1.6;86;6;W;35;995.0;1.9;71;4;WSW;20;999.9;
17;Tu;-0.3;2.7;0.4;(null);0.0;SE;98;21:16;0.8;81;8;ESE;35;1001.5;0.4;97;8;ESE;69;994.1;
18;We;0.0;2.4;9.8;(null);0.1;SE;87;00:26;1.9;75;7;SE;46;1002.2;1.9;73;7;SSE;39;1005.3;
19;Th;1.4;5.4;0;(null);0.0;ENE;54;09:08;2.1;67;7;E;26;1005.3;3.5;74;8;ENE;37;1000.2;
20;Fr;1.7;5.8;0;(null);0.7;ESE;44;00:47;5.2;93;7;ESE;28;994.7;4.7;95;8;SSE;13;995.0;
21;Sa;3.6;4.7;2.2;(null);0.0;W;89;08:27;4.3;92;8;W;57;987.7;3.3;76;7;SW;31;1000.3;
22;Su;1.0;3.7;1.0;(null);4.5;SSW;48;00:48;2.0;86;3;SSE;6;1019.4;2.7;86;1;SE;15;1020.6;
23;Mo;1.5;4.8;0.4;(null);0.0;ESE;37;12:40;3.0;95;8;E;15;1015.4;3.6;96;8;ESE;17;1009.4;
24;Tu;2.9;5.3;2.0;(null);0.1;SSE;57;22:40;4.6;96;7;SSE;24;1001.3;4.7;96;8;S;30;998.9;
25;We;4.0;4.2;6.2;(null);0.0;SSE;57;22:43;4.0;97;8;SSE;37;999.8;4.0;96;8;SSE;43;999.1;
26;Th;3.3;4.5;2.2;(null);0.0;SSE;54;00:01;3.7;98;8;SE;26;1003.9;3.4;98;8;SSE;30;1005.2;
27;Fr;3.0;5.1;0.4;(null);3.3;SSE;33;00:35;4.4;96;1;SSE;17;1009.5;3.1;95;1;SSE;19;1009.2;
28;Sa;1.7;5.3;0.4;(null);0.4;SSE;39;22:02;3.4;92;6;Calm;1006.0;4.8;91;8;SE;6;1004.3;
29;Su;1.1;(null);1.2;(null);(null);(null);(null);(null);1.3;91;3;SW;6;1007.1;2.6;90;7;WNW;33;1006.4;
