1;Su;-14.3;-14.3;0.6;(null);0.0;WNW;26;19:23;-14.3;88;8;W;15;979.3;-18.0;84;7;WNW;19;982.4;
2;Mo;-26.3;-23.6;0;(null);0.0;W;20;23:01;-25.2;79;1;SE;6;989.7;-24.7;78;1;ESE;9;988.5;
3;Tu;-31.7;-23.7;0;(null);0.0;N;26;11:40;-26.7;77;6;NNE;9;984.2;-24.3;80;7;NE;15;984.9;
4;We;-28.6;-19.4;0;(null);0.0;SE;15;13:45;-25.1;79;7;S;7;997.8;-26.3;78;7;SE;13;1002.4;
5;Th;-29.6;-11.4;0;(null);0.0;SE;26;20:59;-19.4;80;8;SSW;7;1007.9;-14.5;84;7;SE;13;1007.0;
6;Fr;-19.6;-8.4;0;(null);0.0;ENE;24;06:36;-17.5;81;7;ENE;19;995.7;-15.0;59;7;ENE;7;991.3;
7;Sa;-17.6;-3.3;0.2;(null);0.0;ENE;80;21:07;-9.3;90;8;SSW;7;972.7;-5.3;72;7;ENE;33;969.3;
8;Su;-9.5;-3.3;0.8;(null);0.0;NE;65;23:05;-5.3;61;7;ENE;9;970.9;-4.7;53;6;ENE;20;971.3;
9;Mo;-7.6;-6.6;0;(null);0.0;NE;57;23:24;-6.7;48;7;ENE;28;980.9;-9.5;57;7;SE;7;982.7;
10;Tu;-14.7;-9.8;0;(null);0.0;E;35;19:31;-14.1;50;5;E;11;982.4;-12.7;55;8;E;11;984.6;
11;We;-14.6;-5.9;3.4;(null);0.0;NE;48;22:28;-10.5;73;7;ENE;13;991.6;-9.5;89;8;SE;9;992.9;
12;Th;-10.9;-8.3;8.8;(null);0.0;S;30;00:58;-8.5;93;(null);SE;7;989.5;-9.5;91;(null);SSE;9;986.5;
13;Fr;-19.2;-14.9;5.2;(null);0.6;NE;35;22:36;-19.0;57;1;ESE;20;978.7;-20.3;51;1;E;17;979.7;
14;Sa;-21.7;-15.1;0;(null);0.0;NE;50;03:41;-15.5;63;7;NNE;30;987.2;-17.1;65;7;SW;7;989.2;
15;Su;-18.9;-11.4;0;(null);0.0;ESE;26;01:06;-17.2;61;5;ESE;15;987.5;-16.0;71;8;ESE;15;985.8;
16;Mo;-17.5;-11.2;1.2;(null);0.0;NNE;63;14:39;-11.8;72;7;E;17;981.8;-12.3;82;8;NNE;41;982.8;
17;Tu;-13.6;-12.4;0;(null);0.0;NE;61;01:43;-13.3;73;7;NE;26;988.0;-12.8;85;8;NE;41;989.5;
18;We;-18.3;-17.5;0.2;(null);0.0;NNE;19;06:28;-18.0;85;8;N;7;995.2;-18.3;84;8;W;7;995.9;
19;Th;-19.4;-16.4;0.4;(null);0.0;ENE;24;20:03;-18.6;85;8;SW;11;994.3;-17.9;85;7;SSE;7;994.8;
20;Fr;-20.9;-17.6;0;(null);0.0;ENE;20;23:01;-20.4;68;1;E;7;989.8;-21.1;61;2;ESE;13;984.2;
21;Sa;-26.7;-17.3;0;(null);0.2;ESE;26;07:24;-19.5;55;4;SE;20;984.6;-19.3;59;6;E;6;987.2;
22;Su;-26.3;-19.9;0;(null);1.3;SSW;28;03:59;-26.3;75;1;SW;15;983.5;-27.3;75;1;S;6;976.2;
23;Mo;-29.2;-12.8;0;(null);0.0;NE;33;21:12;-21.5;76;6;NE;19;971.3;-20.4;80;8;NE;17;975.7;
24;Tu;-22.3;-11.8;0.2;(null);0.0;NNE;46;02:53;-13.1;85;8;NE;17;982.7;-14.4;81;7;ENE;17;983.6;
25;We;-16.4;-11.0;0;(null);0.0;ENE;33;00:30;-15.7;59;5;SE;17;986.2;-11.9;62;7;ESE;17;983.9;
26;Th;-21.6;-13.8;0;(null);0.0;ESE;31;00:02;-20.9;76;5;NE;15;963.3;-23.4;84;5;NE;20;966.4;
27;Fr;-24.8;(null);(null);(null);(null);(null);(null);(null);-14.4;85;3;NE;63;985.2;(null);(null);(null);(null);(null);(null);
