1;Su;21.9;24.6;1.4;3.8;0.8;E;15;13:54;22.4;92;7;SSE;4;1019.6;22.8;88;7;W;4;1015.6;
2;Mo;19.3;27.4;15.0;1.2;3.6;E;17;14:52;22.1;88;7;WSW;4;1017.1;25.9;69;7;E;9;1013.2;
3;Tu;19.2;29.6;10.6;3.4;8.0;NW;19;14:22;23.6;79;6;SW;4;1014.5;29.3;47;3;W;7;1010.2;
4;We;17.4;28.9;0;2.8;9.1;ESE;26;14:04;22.7;58;2;WSW;6;1017.0;26.1;46;1;ENE;11;1014.4;
5;Th;16.0;28.0;0;5.2;10.1;ENE;24;15:26;20.9;69;1;WSW;6;1021.0;26.3;51;1;E;9;1017.5;
6;Fr;16.4;28.5;0;4.0;9.8;NE;19;14:39;21.6;74;5;SSW;6;1020.1;26.2;56;4;ENE;7;1016.9;
7;Sa;17.1;27.7;0;4.6;8.8;ESE;24;13:23;21.9;74;3;SSW;6;1020.5;25.1;48;2;E;11;1017.5;
8;Su;16.1;27.3;0;4.0;10.2;ENE;20;15:29;21.9;67;3;SW;4;1019.9;26.0;59;4;ENE;9;1015.9;
9;Mo;18.1;28.2;0.6;3.2;9.1;N;24;16:30;20.9;85;7;SW;4;1016.3;25.8;66;7;NE;11;1012.3;
10;Tu;20.9;28.4;0;4.6;2.7;W;30;19:23;24.3;73;7;NNE;2;1012.0;26.6;55;6;W;11;1010.0;
11;We;18.6;25.6;0;6.2;3.2;WSW;19;10:41;19.8;57;7;WSW;7;1017.1;24.3;27;5;SE;6;1015.8;
12;Th;9.3;26.4;0;4.0;10.5;WNW;28;14:33;19.7;36;0;WSW;9;1019.2;25.6;24;0;W;15;1016.8;
13;Fr;12.0;27.0;0;7.4;10.0;SSW;17;06:19;20.3;48;1;SW;6;1022.8;25.4;45;1;ENE;9;1020.3;
14;Sa;14.7;26.9;0;4.0;9.6;ENE;19;16:07;20.0;71;1;SW;6;1023.9;25.8;47;1;NE;6;1020.8;
15;Su;13.6;27.3;0;2.6;10.1;ENE;19;14:14;19.7;75;1;SSW;6;1022.0;25.8;39;1;NE;7;1017.5;
16;Mo;13.1;28.1;0;3.0;9.9;NE;17;15:43;18.7;65;4;W;6;1021.0;25.9;39;1;NE;9;1018.4;
17;Tu;14.6;28.0;0;4.6;9.9;NE;17;14:17;20.5;70;3;SW;4;1021.2;26.4;51;5;NE;7;1017.0;
18;We;14.3;27.7;0;3.2;9.8;ENE;19;14:52;20.9;71;2;SSW;2;1019.0;26.1;50;3;NE;11;1015.4;
19;Th;15.8;27.7;0;2.4;7.1;SSW;19;12:00;19.8;76;6;SW;2;1018.1;26.1;48;7;SSW;4;1013.9;
20;Fr;13.0;29.2;0;4.0;10.0;W;19;12:41;21.3;41;0;SSW;6;1019.8;26.9;29;1;NE;9;1017.1;
21;Sa;14.9;26.6;0;4.8;8.6;E;26;14:08;21.3;59;2;SSW;6;1025.7;24.4;57;7;SE;11;1022.1;
22;Su;17.6;26.5;0;3.8;6.7;ENE;19;14:18;21.1;67;6;S;4;1024.6;25.2;52;1;NNE;7;1021.3;
23;Mo;14.7;28.1;0;3.2;8.8;NE;19;16:22;20.4;72;4;SSW;2;1020.9;27.3;47;2;NNE;6;1015.0;
24;Tu;15.6;27.4;0;4.0;9.7;NE;19;14:17;22.4;54;1;S;6;1018.0;25.3;34;1;NNE;7;1015.0;
25;We;11.7;25.6;0;5.4;10.0;NE;17;14:38;17.9;38;1;SSW;4;1018.3;24.6;22;2;ENE;7;1015.4;
26;Th;9.6;28.2;0;4.2;9.1;NE;24;15:38;16.8;51;3;Calm;1015.7;26.5;47;1;NE;11;1007.5;
27;Fr;16.8;25.6;0;3.6;8.5;W;46;13:50;22.1;62;4;WNW;17;1008.6;25.0;38;1;W;20;1006.2;
28;Sa;11.2;23.6;0;(null);9.6;W;44;14:28;18.1;42;1;W;9;1013.6;22.7;29;1;W;22;1010.3;
29;Su;11.9;(null);0;17.0;(null);(null);(null);(null);16.7;43;0;W;9;1019.0;23.0;24;3;SW;2;1016.2;
